Facility	Latitude	Longitude	Total On-site Disposal or Other Releases	Total Off-site Disposal or Other Releases	Total On- and Off-site Disposal or Other Releases
"OAK GROVE STEAM ELECTRIC STATION.8127 OAK GROVE RD, FRANKLIN TEXAS 77856 (ROBERTSON)"	31.182	-96.487	"4,432,179.56"	.	"4,432,179.56"
"PCS NITROGEN FERTILIZER LP.1460 COLUMBIA NITROGEN DR, AUGUSTA GEORGIA 30901 (RICHMOND)"	33.427	-81.933	"4,401,465.99"	0	"4,401,465.99"
"ARCELORMITTAL CLEVELAND LLC.3060 EGGERS AVE, CLEVELAND OHIO 44105 (CUYAHOGA)"	41.463	-81.668	"3,121,720.19"	"1,217,388.51"	"4,339,108.70"
"TRONOX LLC.560 W LAKE MEAD PKWY, HENDERSON NEVADA 89015 (CLARK)"	36.035	-115	"19,576.06"	"4,249,080.41"	"4,268,656.47"
"OMAHA PUBLIC POWER DISTRICT NEBRASKA CITY STATION.7264 L RD, NEBRASKA CITY NEBRASKA 68410 (OTOE)"	40.621	-95.773	"4,230,034.00"	"18,705.00"	"4,248,739.00"
"ASARCO LLC MISSION COMPLEX.4201 W PIMA MINE RD, SAHUARITA ARIZONA 85629 (PIMA)"	31.998	-111.052	"4,247,028.11"	0	"4,247,028.11"
"US TVA PARADISE FOSSIL PLANT.13246 STATE RT 176 SUITE 10, DRAKESBORO KENTUCKY 42337 (MUHLENBERG)"	37.259	-86.978	"4,207,338.90"	152.7	"4,207,491.60"
"US MAGNESIUM LLC.12819 N SKULL VALLEY RD, GRANTSVILLE UTAH 84029 (TOOELE)"	40.916	-112.734	"4,192,699.58"	4.7526667	"4,192,704.33"
Total of Top 100 facilities			"2,079,534,080.86"	"121,326,380.37"	"2,200,860,461.23"
					
					
					
Facility	Latitude	Longitude	Total On-site Disposal or Other Releases	Total Off-site Disposal or Other Releases	Total On- and Off-site Disposal or Other Releases
					
					
					
"US MAGNESIUM LLC.12819 N SKULL VALLEY RD, GRANTSVILLE UTAH 84029 (TOOELE)"	40.916	-112.734	"27,042.21"	636.13	"27,678.34"
"OXY VINYLS LP LA PORTE VCM PLANT.2400 MILLER CUTOFF RD, LA PORTE TEXAS 77571 (HARRIS)"	29.724	-95.074	31.4282249	"23,651.39"	"23,682.81"
"WAYNE DISPOSAL INC.49350 N I-94 SERVICE DR, BELLEVILLE MICHIGAN 48111 (WAYNE)"	42.219	-83.523	"11,956.70"	.	"11,956.70"
"DOW CHEMICAL CO FREEPORT FACILITY.2301 N BRAZOSPORT BLVD, FREEPORT TEXAS 77541 (BRAZORIA)"	28.994	-95.398	"4,695.81"	.	"4,695.81"
"US ECOLOGY TEXAS INC.3277 COUNTY RD 69, ROBSTOWN TEXAS 78380 (NUECES)"	27.731	-97.652	"4,213.90"	.	"4,213.90"
"WESTLAKE VINYLS INC.2468 IND US TRIAL PKWY, CALVERT CITY KENTUCKY 42029 (MARSHALL)"	37.051	-88.334	18.5385	"2,849.99"	"2,868.53"
"REAL ALLOY RECYCLING INC.267 N FILLMORE RD, COLDWATER MICHIGAN 49036 (BRANCH)"	41.923	-85.023	119.95	"2,278.82"	"2,398.77"
"CHEMOURS JOHNSONVILLE PLANT.1 DU PONT RD, NEW JOHNSONVILLE TENNESSEE 37134 (HUMPHREYS)"	36.043	-87.982	"1,741.39"	0.02327	"1,741.41"
"CHEMOURS DELISLE PLANT.7685 KILN DELISLE RD, PASS CHRISTIAN MISSISSIPPI 39571 (HARRISON)"	30.381	-89.308	"1,287.30"	1	"1,288.30"
"GB BIOSCIENCES LLC.2239 HADEN RD, HOUSTON TEXAS 77015 (HARRIS)"	29.763	-95.171	10.1973659	405.399909	415.5972749
"NEMAK USA INC-GATEWAY.4243 GATEWAY DR, SHEBOYGAN WISCONSIN 53081 (SHEBOYGAN)"	43.708	-87.753	3.8846065	353.14605	357.0306565
"CRISTAL USA INC.2900 MIDDLE RD, ASHTABULA OHIO 44004 (ASHTABULA)"	41.894	-80.749	334.34578	.	334.34578
"TRONOX LLC (PART).40036 TRONOX RD, HAMILTON MISSISSIPPI 39746 (MONROE)"	33.731	-88.453	331.383	.	331.383
"SUPERIOR ALUMINUM ALLOYS LLC.14214 EDGERTON RD, NEW HAVEN INDIANA 46774 (ALLEN)"	41.079	-84.957	9.4257	305.5104	314.9361
